id_experience,job_title,company,from,to,current,description,employment_type,location,job_level,job_function,id_user
1,Web Developer,Bali Digital Innovations,2020-01-01,2022-12-31,True,"Led user research and design testing. Created wireframes, prototypes, and mockups for new features, ensuring they met user needs and expectations.",Part-Time,Jembrana,Junior,Development,USR002
2,Software Engineer,Ubud Software Hub,2020-01-01,2022-12-31,True,Developed and maintained cloud-based applications. Managed database architecture and ensured system performance at scale.,Part-Time,Tabanan,Junior,Development,USR007
3,Product Manager,Bali Web Dev Co.,2020-01-01,2022-12-31,False,"Developed and maintained web applications using React, Node.js, and Express. Worked closely with product teams to deliver high-quality solutions.",Full-Time,Jembrana,Junior,Development,USR008
4,Backend Developer,Ubud Software Hub,2020-01-01,2022-12-31,False,Developed and maintained cloud-based applications. Managed database architecture and ensured system performance at scale.,Full-Time,Badung,Junior,Development,USR009
5,Backend Developer,Ubud Software Hub,2020-01-01,2022-12-31,True,Created detailed designs and user interfaces for mobile and web platforms. Focused on improving user experience and visual aesthetics.,Full-Time,Karangasem,Junior,Development,USR010
6,Frontend Developer,Island Software Inc.,2020-01-01,2022-12-31,True,Led the development of several mobile applications using React Native and optimized for both iOS and Android platforms. Collaborated with cross-functional teams.,Full-Time,Jembrana,Junior,Development,USR012
7,Web Developer,Bali Web Dev Co.,2020-01-01,2022-12-31,False,"Managed the full software development lifecycle, from requirements gathering to deployment. Utilized agile methodologies to ensure timely delivery of features.",Full-Time,Klungkung,Junior,Development,USR013
8,Full Stack Developer,Bali Web Dev Co.,2020-01-01,2022-12-31,False,Created detailed designs and user interfaces for mobile and web platforms. Focused on improving user experience and visual aesthetics.,Remote,Buleleng,Junior,Development,USR014
9,Web Developer,Bali Web Dev Co.,2020-01-01,2022-12-31,True,Led the development of several mobile applications using React Native and optimized for both iOS and Android platforms. Collaborated with cross-functional teams.,Remote,Gianyar,Junior,Development,USR016
10,Mobile Developer,Ubud Software Hub,2020-01-01,2022-12-31,True,Led the development of several mobile applications using React Native and optimized for both iOS and Android platforms. Collaborated with cross-functional teams.,Full-Time,Badung,Junior,Development,USR019
11,Quality Assurance Engineer,Bali Digital Innovations,2020-01-01,2022-12-31,True,Developed and maintained cloud-based applications. Managed database architecture and ensured system performance at scale.,Part-Time,Gianyar,Junior,Development,USR021
12,Software Engineer,Bali Web Dev Co.,2020-01-01,2022-12-31,True,"Managed the full software development lifecycle, from requirements gathering to deployment. Utilized agile methodologies to ensure timely delivery of features.",Full-Time,Klungkung,Junior,Development,USR022
13,Software Engineer,Ubud Software Hub,2020-01-01,2022-12-31,True,Created detailed designs and user interfaces for mobile and web platforms. Focused on improving user experience and visual aesthetics.,Remote,Jembrana,Junior,Development,USR025
14,Web Developer,Island Software Inc.,2020-01-01,2022-12-31,False,Created detailed designs and user interfaces for mobile and web platforms. Focused on improving user experience and visual aesthetics.,Remote,Jembrana,Junior,Development,USR028
16,Backend Developer,Island Software Inc.,2020-01-01,2022-12-31,True,"Worked with large datasets, applying data analysis techniques and tools like Python and SQL. Provided actionable insights to improve business decisions.",Remote,Klungkung,Junior,Development,USR033
18,Mobile Developer,Ubud Software Hub,2020-01-01,2022-12-31,False,"Worked with large datasets, applying data analysis techniques and tools like Python and SQL. Provided actionable insights to improve business decisions.",Part-Time,Tabanan,Junior,Development,USR036
19,Software Engineer,Bali Tech Solutions,2020-01-01,2022-12-31,True,Created detailed designs and user interfaces for mobile and web platforms. Focused on improving user experience and visual aesthetics.,Full-Time,Buleleng,Junior,Development,USR038
21,Backend Developer,Island Software Inc.,2020-01-01,2022-12-31,False,"Managed teams of developers and ensured projects were delivered on time, within scope, and on budget. Focused on team coordination and product delivery.",Part-Time,Bangli,Junior,Development,USR040
22,Full Stack Developer,Ubud Software Hub,2020-01-01,2022-12-31,True,Created detailed designs and user interfaces for mobile and web platforms. Focused on improving user experience and visual aesthetics.,Full-Time,Badung,Junior,Development,USR043
23,Quality Assurance Engineer,Bali Digital Innovations,2020-01-01,2022-12-31,True,"Developed and maintained web applications using React, Node.js, and Express. Worked closely with product teams to deliver high-quality solutions.",Remote,Bangli,Junior,Development,USR044
24,Backend Developer,Bali Tech Solutions,2020-01-01,2022-12-31,False,Led the development of several mobile applications using React Native and optimized for both iOS and Android platforms. Collaborated with cross-functional teams.,Full-Time,Klungkung,Junior,Development,USR049
30,Quality Assurance Engineer,Bali Digital Innovations,2020-01-01,2022-12-31,True,"Managed the full software development lifecycle, from requirements gathering to deployment. Utilized agile methodologies to ensure timely delivery of features.",Part-Time,Tabanan,Junior,Development,USR057
32,Product Manager,Bali Digital Innovations,2020-01-01,2022-12-31,True,"Managed the full software development lifecycle, from requirements gathering to deployment. Utilized agile methodologies to ensure timely delivery of features.",Remote,Tabanan,Junior,Development,USR060
35,Data Analyst,Bali Web Dev Co.,2020-01-01,2022-12-31,True,Tested and ensured the quality of software by writing and executing test cases. Worked closely with developers to ensure high product standards.,Part-Time,Klungkung,Junior,Development,USR066
37,Web Developer,Bali Web Dev Co.,2020-01-01,2022-12-31,True,"Developed and maintained web applications using React, Node.js, and Express. Worked closely with product teams to deliver high-quality solutions.",Remote,Klungkung,Junior,Development,USR069
41,Data Analyst,Bali Digital Innovations,2020-01-01,2022-12-31,True,Developed and maintained cloud-based applications. Managed database architecture and ensured system performance at scale.,Full-Time,Bangli,Junior,Development,USR077
42,Mobile Developer,Bali Tech Solutions,2020-01-01,2022-12-31,True,"Developed and maintained web applications using React, Node.js, and Express. Worked closely with product teams to deliver high-quality solutions.",Part-Time,Badung,Junior,Development,USR078
45,UX/UI Designer,Island Software Inc.,2020-01-01,2022-12-31,True,Developed and maintained cloud-based applications. Managed database architecture and ensured system performance at scale.,Part-Time,Badung,Junior,Development,USR091
47,Web Developer,Island Software Inc.,2020-01-01,2022-12-31,False,Tested and ensured the quality of software by writing and executing test cases. Worked closely with developers to ensure high product standards.,Part-Time,Karangasem,Junior,Development,USR094
49,Web Developer,Island Software Inc.,2020-01-01,2022-12-31,True,"Developed and maintained web applications using React, Node.js, and Express. Worked closely with product teams to deliver high-quality solutions.",Full-Time,Klungkung,Junior,Development,USR097
51,Product Manager,Bali Digital Innovations,2020-01-01,2022-12-31,True,Collaborated in a team to build scalable applications using microservices architecture. Ensured the product was both performant and secure.,Remote,Bangli,Junior,Development,USR100
53,Data Analyst,Bali Digital Innovations,2020-01-01,2022-12-31,False,Collaborated in a team to build scalable applications using microservices architecture. Ensured the product was both performant and secure.,Full-Time,Bangli,Junior,Development,USR103
55,Backend Developer,Bali Web Dev Co.,2020-01-01,2022-12-31,True,"Worked with large datasets, applying data analysis techniques and tools like Python and SQL. Provided actionable insights to improve business decisions.",Part-Time,Bangli,Junior,Development,USR105
57,Software Engineer,Bali Digital Innovations,2020-01-01,2022-12-31,False,Collaborated in a team to build scalable applications using microservices architecture. Ensured the product was both performant and secure.,Full-Time,Tabanan,Junior,Development,USR107
