name_company,image_logo,description,website,industry,number_employees,head_office,since,id_company
PT Prima Industri,logo_pt_prima_industri.jpg,"PT Prima Industri is a leading company in the Education industry, providing high-quality products and services.",www.ptprimaindustri.com,Logistics,1729,Denpasar,1994,1
PT Sinar Sukses,logo_pt_sinar_sukses.jpg,"PT Sinar Sukses is a leading company in the Finance industry, providing high-quality products and services.",www.ptsinarsukses.com,Retail,1974,Klungkung,2009,2
PT Sinar Sukses,logo_pt_sinar_sukses.jpg,"PT Sinar Sukses is a leading company in the Construction industry, providing high-quality products and services.",www.ptsinarsukses.com,Healthcare,1710,Denpasar,2002,3
PT Sinar Sukses,logo_pt_sinar_sukses.jpg,"PT Sinar Sukses is a leading company in the Finance industry, providing high-quality products and services.",www.ptsinarsukses.com,Energy,1488,Buleleng,1994,4
PT Nusantara Teknologi,logo_pt_nusantara_teknologi.jpg,"PT Nusantara Teknologi is a leading company in the Finance industry, providing high-quality products and services.",www.ptnusantarateknologi.com,Food & Beverage,1167,Gianyar,1992,5
PT Indotech Global,logo_pt_indotech_global.jpg,"PT Indotech Global is a leading company in the Construction industry, providing high-quality products and services.",www.ptindotechglobal.com,Logistics,387,Buleleng,2013,6
PT Global Sumber Daya,logo_pt_global_sumber_daya.jpg,"PT Global Sumber Daya is a leading company in the Finance industry, providing high-quality products and services.",www.ptglobalsumberdaya.com,Finance,1623,Tabanan,2009,7
PT Nusantara Teknologi,logo_pt_nusantara_teknologi.jpg,"PT Nusantara Teknologi is a leading company in the Healthcare industry, providing high-quality products and services.",www.ptnusantarateknologi.com,Logistics,699,Denpasar,1997,8
PT Jaya Mulya,logo_pt_jaya_mulya.jpg,"PT Jaya Mulya is a leading company in the Food & Beverage industry, providing high-quality products and services.",www.ptjayamulya.com,Food & Beverage,1303,Buleleng,2015,9
PT Prima Industri,logo_pt_prima_industri.jpg,"PT Prima Industri is a leading company in the Energy industry, providing high-quality products and services.",www.ptprimaindustri.com,Education,296,Bangli,1993,10
PT Gemilang Bersama,logo_pt_gemilang_bersama.jpg,"PT Gemilang Bersama is a leading company in the Manufacturing industry, providing high-quality products and services.",www.ptgemilangbersama.com,Energy,1185,Buleleng,2016,11
PT Cipta Karya Abadi,logo_pt_cipta_karya_abadi.jpg,"PT Cipta Karya Abadi is a leading company in the Healthcare industry, providing high-quality products and services.",www.ptciptakaryaabadi.com,Education,1230,Jembrana,2012,12
PT Indotech Global,logo_pt_indotech_global.jpg,"PT Indotech Global is a leading company in the Technology industry, providing high-quality products and services.",www.ptindotechglobal.com,Retail,898,Jembrana,1992,13
